first,second,acc
1000.0,1000.0,0.7613963039014374
1000.0,500.0,0.7613963039014374
1000.0,100.0,0.7613963039014374
1000.0,50.0,0.7613963039014374
1000.0,10.0,0.7613963039014374
500.0,1000.0,0.7613963039014374
500.0,500.0,0.7613963039014374
500.0,100.0,0.7613963039014374
500.0,50.0,0.7613963039014374
500.0,10.0,0.7613963039014374
100.0,1000.0,0.7613963039014374
100.0,500.0,0.7613963039014374
100.0,100.0,0.7613963039014374
100.0,50.0,0.7613963039014374
100.0,10.0,0.7613963039014374
50.0,1000.0,0.7613963039014374
50.0,500.0,0.7613963039014374
50.0,100.0,0.7613963039014374
50.0,50.0,0.7613963039014374
50.0,10.0,0.7613963039014374
10.0,1000.0,0.7613963039014374
10.0,500.0,0.7613963039014374
10.0,100.0,0.7613963039014374
10.0,50.0,0.7613963039014374
10.0,10.0,0.7613963039014374
